,location
epip zone,23
basaveshwara nagar,23
lingadheeranahalli,23
sonnenahalli,22
rayasandra,22
gunjur,22
domlur,22
kaval byrasandra,22
dasarahalli,21
ulsoor,21
poorna pragna layout,21
hoskote,21
yelachenahalli,21
binny pete,20
sanjay nagar,20
kaggalipura,19
pai layout,19
kenchenahalli,19
ombr layout,19
kalyan nagar,19
hrbr layout,19
banaswadi,19
cooke town,18
billekahalli,18
kannamangala,18
garudachar palya,18
chikka tirupathi,18
varthur road,17
btm layout,17
malleshpalya,17
kammanahalli,17
beml layout,17
kaikondrahalli,17
nagavara,17
mallasandra,17
sarjapura - attibele road,17
devarachikkanahalli,17
bannerghatta,17
arekere,17
kasturi nagar,16
parappana agrahara,16
dasanapura,16
judicial layout,16
begur,16
kereguddadahalli,16
5th block hbr layout,16
2nd block hrbr layout,15
chamrajpet,15
benson town,15
nagavarapalya,15
giri nagar,15
doddakallasandra,14
bharathi nagar,14
vasanthapura,14
murugeshpalya,14
jalahalli east,14
sarakki nagar,14
sultan palaya,14
1st block jayanagar,14
isro layout,13
konanakunte,13
gollarapalya hosahalli,13
prithvi layout,13
cunningham road,13
shivaji nagar,13
vishveshwarya layout,13
rajiv nagar,13
chikkabanavar,13
kadubeesanahalli,13
shampura,13
mahalakshmi layout,13
neeladri nagar,13
kodigehaali,13
yelenahalli,13
ashwath nagar,13
mico layout,12
laggere,12
karuna nagar,12
itpl,12
ags layout,12
vishwapriya layout,12
nagasandra,12
cox town,12
thyagaraja nagar,12
aecs layout,12
badavala nagar,12
doddaballapur,12
sompura,12
gm palaya,12
pattandur agrahara,11
lb shastri nagar,11
hal 2nd stage,11
tindlu,11
nehru nagar,11
banjara layout,11
srirampura,11
2nd phase judicial layout,11
marsur,11
akshayanagara east,10
nagadevanahalli,10
nelamangala,10
banagiri nagar,10
dairy circle,10
dodsworth layout,10
gunjur palya,10
btm 1st stage,10
sadashiva nagar,10
naganathapura,10
kalkere,10
basapura,10
nagappa reddy layout,10
ganga nagar,10
vishwanatha nagenahalli,9
chennammana kere,9
medahalli,9
lingarajapuram,9
vignana nagar,9
yemlur,9
jakkur plantation,9
richmond town,9
ejipura,9
kaverappa layout,9
2nd phase jp nagar,9
ittamadu,9
chandra layout,9
kudlu main road,9
peenya,9
bhuvaneshwari nagar,9
hanumanth nagar,9
kamakshipalya,9
mathikere,9
volagerekallahalli,9
manayata tech park,9
hoysalanagar,9
gollahalli,9
shanti nagar,8
dodda nekkundi extension,8
anand nagar,8
kodbisanhalli,8
basavanapura,8
huskur,8
shikaripalya,8
vijaya bank layout,8
hongasandra,8
vasanth nagar,8
gopalkrishna nagar,8
outer ring road east,8
mahalakshmi puram,8
jalahalli west,8
cambridge layout,8
belathur,8
1st block hrbr layout,8
kanaka nagar,8
seetharampalya,8
akshaya vana,8
basavanagara,8
kattigenahalli,8
ms pallya,8
reliaable tranquil layout,8
nallurhalli,8
byadarahalli,8
cholanayakanahalli,8
sathya sai layout,8
dollars colony,8
hosur main road,8
thirumenahalli,8
govindpura,8
vajarahalli,8
abbaiah reddy layout,8
sidedahalli,8
roopena agrahara,8
hessarghatta,7
wilson garden,7
richards town,7
devarabeesana halli,7
austin town,7
keshava nagar,7
doddabommasandra,7
kundalahalli colony,7
"hoodi circle,",7
byatarayanapura,7
bank of baroda colony,7
basaveshwara nagar yelahanka,7
rmv 2nd stage,7
byrasandra,7
jeevan bima nagar,7
canara bank colony,7
green view layout,7
defence colony,7
ramakrishnappa layout,7
channasandra layout,7
doddakammanahalli,7
hennur gardens,7
ambedkar colony,7
thanisandra main road,7
madiwala,7
victoria layout,7
tejaswini nagar,7
maruthi sevanagar,7
doctors layout,7
vinayaka nagar,7
singapura village,7
rajiv gandhi nagar,6
jakkasandra extension,6
kumara park,6
meenakunte,6
dodda banaswadi,6
new thippasandra,6
nagondanahalli,6
hennur bande,6
devasthanagalu,6
varanasi,6
bagalakunte,6
samethanahalli,6
doddakannelli,6
ashirvad colony,6
1st stage indira nagar,6
bcc layout,6
byrathi village,6
nagawara junction,6
gopalapura,6
rustam bagh layout,6
siddapura,6
chelekare,6
vasantha vallabha nagar,6
nayandanahalli,6
ankappa layout,6
maragondanahalli,6
varsova layout,6
srinivasa nagar,6
motappa layout,6
avalahalli,6
suraksha nagar,6
iti layout,6
kacharakanahalli,6
shantiniketan layout,6
"off sarjapur road,",6
shree ananth nagar layout,6
bileshivale,6
doddanakundi industrial area 2,6
t.c palya,6
venkatapura,6
udaya nagar,6
vishwapriya nagar,5
raghuvanahalli,5
chikkadunnasandra,5
bagalur,5
ramanjaneyanagar,5
rmv extension,5
kr garden,5
doddabanahalli,5
kada agrahara,5
virat nagar,5
5th stage beml layout,5
kadugondanahalli,5
jakkuru layout,5
byagadadhenahalli,5
mallathahalli,5
stage-4 bommanahalli,5
silk board,5
doopanahalli,5
nagaraja garden,5
cottonpet,5
hosahalli extension,5
bellari road,5
3rd block banashankari,5
puttanahalli,5
immadihalli,5
sunkadakatte,5
maruthi nagar,5
devi nagar,5
kallumantapa,5
attur layout,5
pattanagere,5
kurubarahalli,5
hmt layout,5
shanthala nagar,5
munivenkatppa layout,5
lavelle road,5
nagashetty halli,5
amruthnagar,5
vgp layout,5
kadabagere,5
raja rajeshwari nagar 5th stage,5
jcr layout,5
hiremath layout,5
maithri layout,5
tavarekere,5
new gurappana palya,5
coconut grove layout,5
kumbena agrahara,4
old gurappanapalya,4
mylasandra,4
langford town,4
suddaguntepalya,4
chinnapanahalli,4
divya unnathi layout,4
jnanabharathi layout,4
poornapragna housing society layout,4
brooke bond first cross,4
kodathi,4
2nd block jayanagar,4
kuvempu nagar,4
rwf west colony,4
doddagubbi,4
moodalapalya,4
chikkathoguru,4
upkar layout,4
kammagondahalli,4
singena agrahara,4
gokula extension,4
alfa garden layout,4
2nd block koramangala,4
lavakusha nagar,4
bsm extension,4
shankarapuram,4
laxmi sagar layout,4
kashi nagar,4
gowdanapalya,4
vaishnavi layout,4
bikasipura,4
mcechs  layout,4
chokkanahalli,4
ramamurthy nagar extension,4
ns palya,4
bagalur main road,4
"judicial layout, kanakapura road,",4
geddalahalli,4
manorayana palya,4
banashankari stage 2,4
basavanna nagar,4
konanakunte cross,4
kirloskar layout,4
bel road,4
nyanappana halli,4
pragathi nagar,4
glass factory layout,4
herohalli,4
ngef layout,4
udayapur village,4
sai gardens,4
prashanth nagar,4
kamala nagar,4
harsha layout,4
palace guttahalli,4
tala cauvery layout,4
dooravani nagar,4
manjunath nagar,4
lake city,4
tata nagar,4
lakshmi layout,4
chennappa layout,4
mysore highway,4
kumarapalli,4
kanakapura main road,4
silver springs layout,4
carmelaram,4
vhbcs layout,3
pampa extension,3
2nd stage arekere mico layout,3
bidadi,3
arishinakunte,3
seshadripuram,3
dinnur,3
jayamahal,3
himagiri meadows,3
venugopal reddy layout,3
kithaganur,3
3rd phase jp nagar,3
yeshwanthpur industrial suburb,3
marasandra,3
domlur layout,3
nandini layout,3
sadaramangala,3
shettigere,3
ashwini layout,3
pulkeshi nagar,3
vittal nagar,3
jnana ganga nagar,3
konena agrahara,3
thippasandra,3
ksrtc layout,3
vadarpalya,3
esther enclave layout,3
rr layout,3
btm 4th stage,3
p&t layout,3
sunder ram shetty nagar,3
atmananda colony,3
veerannapalya,3
mathikere extension,3
sri balaji krupa layout,3
subash nagar,3
makali,3
nobo nagar,3
krishna reddy layout,3
narayana nagar 1st block,3
sanjeevini nagar,3
devanahalli int. airport,3
baba nagar,3
gattahalli,3
dwarka nagar,3
dollars layout,3
bhagyalakshmi avenue,3
gkvk layout,3
rpc layout,3
coffee board layout,3
kachanayakanahalli,3
jinkethimmanahalli,3
sanne amanikere,3
lakshmipura,3
surabhi layout,3
smv layout,3
weavers colony,3
dasappa layout,3
srinagar,3
3rd block jayanagar,3
tasker town,3
"ecc road, whitefield,",3
bethel nagar,3
lottegolla halli,3
ayappa nagar,3
gulimangala,3
brindavan nagar,3
sarvabhouma nagar,3
hagadur,3
hegganahalli,3
j c nagar,3
kengeri hobli,3
mangammanapalya,3
jayanti nagar,3
rmv,3
hosapalya,3
crimson layout,3
canara bank layout,3
telecom layout,3
ullal road,3
alur,3
palanahalli,3
daadys gaarden layout,3
kamakya layout,3
ramesh nagar,3
bendiganahalli,3
lakkasandra,3
vimanapura,3
sampangi rama nagar,3
sathya layout,3
ilyas nagar,3
devara jeevanahalli,3
kr layout,3
harappanahalli,3
virupakshapura,3
kodipalya,3
ferrar nagar,3
kaveri nagar,3
singanayakanahalli,3
d group employees layout,3
arehalli,3
kothnur narayanapura,3
ullal uppanagar,3
tunganagara,3
tirumanahalli,3
raghavendra nagar,3
kavika layout,3
chikka banaswadi,3
agrahara dasarahalli,3
venkatadri layout,3
adityanagar,3
nanjappa layout,3
vijinapura,2
hoodi layout,2
vibuthipura,2
sri sai layout,2
palace road,2
gandhi bazar,2
race course road,2
amam enclave layout,2
sneha colony,2
vivek nagar,2
muneshwara nagar,2
hadosiddapura,2
coconut garden,2
patelappa layout,2
bettahalsoor,2
mla layout,2
guni agrahara,2
friends colony,2
kariyammana agrahara,2
cleveland town,2
garebhavipalya,2
sri venkateshpura layout,2
off bannergatta road,2
dodda kempaiah layout,2
veersandra,2
dr shivarama karantha nagar,2
someshwara layout,2
sampigehalli,2
challaghatta,2
anwar layout,2
kullappa colony,2
koppa,2
cqal layout,2
marenahalli,2
aishwarya crystal layout,2
annapurneshwari nagar,2
srinivas colony,2
bhoopsandra,2
gattigere,2
rajarajeshwarinagar,2
v.v puram,2
kempapura,2
hallehalli,2
celebrity paradise layout,2
church street,2
bidrahalli,2
kempegowda nagar,2
mariyannapalya,2
devasandra extension,2
langford gardens,2
thomas town,2
m v extenstion,2
devanahalli road,2
jaya mahal layout,2
teachers colony,2
near international airport,2
gd layout,2
remco bhel layout,2
kothnoor dinne,2
sbm colony,2
dena bank colony,2
hal 3rd stage,2
ramanashree enclave,2
south,2
vibhutipura extension,2
kadarenahalli,2
st. john's road,2
panduranga nagar,2
kannur,2
jyothi nagar,2
lakshmiamma garden,2
ganesha block,2
punappa layout,2
madavara,2
naidu layout,2
andrahalli,2
syndicate bank colony,2
classic paradise layout,2
brindavan layout,2
omkar nagar,2
chamundi nagar,2
shingapura,2
ganganahalli,2
anugrah layout,2
infantry road,2
keb colony,2
vyalikaval,2
hunasamaranahalli,2
upadhyaya layout,2
rmv extension stage 2,2
shetty halli,2
sadanand nagar,2
gnana bharathi,2
1st block bel layout,2
gidada konnenahalli,2
rajasree layout,2
hosakerehalli layout,2
chikkakannalli,2
lal bahadur shastri nagar,2
omarbagh layout,2
soundarya layout,2
ashok nagar,2
nandi hills,2
annasandrapalya,2
rest house road,2
krishna nagar,2
balaji gardens layout,2
rr nagar,2
yarandahalli,2
jai bheema nagar,2
postal colony,2
manyata park,2
vaderahalli,2
doddabidrakallu,2
muthurayya swamy layout,2
shanthi layout,2
mahaganapathy nagar,2
koramangala industrial layout,2
shirdi sai layout,2
kumbalgodu,2
nandi durga road,2
maruthi layout,2
jayamahal extension,2
green domain layout,2
rajankunte,2
billamaranahalli,2
2nd block bel layout,2
phase 1 kammasandra,2
nanjappa garden,2
amarjyothi colony,2
anjana nagar,2
green woods layout,2
govindaraja nagar ward,2
veer sandra,2
janatha colony,2
raghavendra layout,2
manjunatha layout,2
green garden layout,2
kyalasanahalli,2
srinivasapura,2
chennammanakere achukattu,2
guddadahalli,2
rajapura,2
hennagara,2
geleyara balaga layout,2
harohalli,2
gaurava nagar,2
dollar scheme colony,2
saptagiri layout,2
chikku lakshmaiah layout,2
ramchandrapuram,2
suragajakkanahalli,2
ring road nagarbhavi,1
vittal mallya road,1
"gubbi cross, hennur main road",1
vijay nagar,1
binnamangala,1
byrasandra extension,1
kg halli,1
5 bedroom farm house in lakshmipura,1
1st stage radha krishna layout,1
suryanagar,1
arasanakunte,1
tippenahalli,1
millers road,1
m.g road,1
maruthi nagar kogilu,1
dhanalakshmi layout,1
veerabhadra nagar,1
marathalli bridge,1
duddanahalli,1
hanumagiri,1
pavitra paradise,1
rahat bagh,1
kamakiya,1
behind don bosco church,1
chokkasandra,1
"tr mill road, chamarajpet",1
havanur extension,1
gayathri nagar,1
ganga nagar extension,1
viswapriyanagar.begur road.bommanahalli.,1
kodanda reddy layout,1
addischetan layout,1
j p nagar 7th phase ramayya city,1
doddabele,1
anjananager magdi road,1
mm layout,1
vijaypura,1
pillanna gardens,1
kadubisnahalli,1
bahubali nagar,1
chikkabettahalli,1
d souza layout,1
mango garden layout,1
kalasipalya,1
attiguppe,1
escorts colony,1
goraguntepalya,1
bharath housing society layout,1
sarjapur bagalur road,1
udayagiri,1
gandhi nagar,1
rajagopala nagar,1
sk garden,1
indranagar  100ft road defence colony,1
pc palaya,1
tilak nagar,1
sundara nagar,1
wajid layout thanisandra,1
"banashankari 3rd stage, vivekanandanagar",1
"kirloskar layout, basaveshwarnagar",1
jaraganahalli jp nagar post,1
grihalakshmi layout,1
srigandada kaval,1
cubbon road,1
bapuji layout,1
gollarahatti,1
nanjappa layout vidyaranyapura,1
kanakadasa layout,1
mullur,1
malur hosur road,1
kathriguppe iv phase,1
t g extension,1
handenahalli,1
sir m v nagar,1
khb colony extension,1
btm layout 2nd stage 1st phase,1
vijaya bank colony,1
kenchanehalli r r nagar,1
shakthi nagar,1
"basnashankari,6th stage,",1
gkw layout,1
rahmath nagar,1
j.p.nagar 6th phase.sarakki nagar,1
hullahalli,1
"6th block banashankari 3rd stage, 100 feet orr",1
anekal - hosur road,1
hal layout,1
3rd block hbr layout,1
navodaya nagar,1
keerthi layout,1
lalbagh road,1
"ananthapura, t c palaya main road",1
narayanappa garden,1
6th block rajaji nagar,1
pns layout,1
"beml layout, basaveshwara nagar",1
kalkere channasandra,1
soppahalli,1
"pai layout , mahadevapura",1
vayunandana layout,1
muthyala nagar,1
chambenahalli,1
tharabanahalli,1
rk colony,1
west of chord road,1
medi agrahara,1
thirupalya,1
chellikere,1
btm layout 1stage 9th main,1
bande nallasandra,1
3rd phase iti layout,1
sunkan palya,1
"ananthanagar phase 1,electronic city , phase 2",1
shanthinagar,1
sree narayana nagar,1
narasapura,1
madanayakahalli,1
ashraya layout,1
chickpet,1
k r c kothanur,1
xavier layout,1
"near electronic city,",1
papareddipalya,1
mathikere sbm colony,1
amco colony,1
subbannaiah palya,1
reliable woods layout,1
medaralli,1
4 bedroom farm house in bagalur,1
"asha township, off hennur road",1
rto ullalu,1
zuzuvadi,1
rainbow drive,1
pattegarhpalya,1
javarandoddi,1
12th cross srinivas nagar banshankari 3rd stage,1
cmh road,1
viviani road,1
kpc layout,1
geetanjali layout,1
banashankari3rd stage bigbazar,1
virgonagar,1
cambridge  road,1
akshaya nagar t c palya,1
vidya nagar,1
"yelahanka,mvit college",1
air view colony,1
byappanahalli,1
satyasaibaba layout,1
agara village,1
shanthi pura,1
subramanyanagar,1
prasanth extension,1
gopal reddy layout,1
"ravindra nagar, t.dasarahalli peenya",1
jaymahal road,1
venkateswara nagar,1
lakshmipura vidyaanyapura,1
bandepalya,1
vinayakanagar,1
bull temple road,1
s r layout,1
gb palya,1
mvj engineering college,1
hommadevanahalli,1
jay an agar 4 t block,1
achins road,1
virudhu nagar,1
shauhardha layout,1
t r mill road,1
aecs layout a-block singasandra,1
bsk 6th stage 2ad block near sri conversation hall,1
rk layout 2nd stage,1
somanna garden,1
badrappa layout,1
popular colony,1
anantapuram,1
ramamohanapuram,1
malimakanapura,1
sathanur,1
chikbasavanapura,1
singapura paradise,1
jogupalya,1
m c layout,1
t k reddy layout,1
deepanjali nagar,1
bilal nagar,1
"panathur road,",1
sampangirama nagar,1
"maragondana halli, kr puram, old madras road",1
mukkutam nagar,1
basvasamithi layout vidyaranyapura,1
chikkabidarakallu,1
k g colony,1
maruthi extension,1
b k nagar,1
sadduguntepalya,1
chowdeshwari layout,1
"beml layout, rajarajeshwari nagar",1
sri kanteshwara nagar,1
duvasapalya,1
jaladarsini layout,1
sarvobhogam nagar,1
thirumalashettyhally,1
old mangammanapalya road,1
st thomas town,1
binny mills employees colony,1
double road,1
b y raveshwara nagar,1
sarjapura main road,1
"rmv extension stage 2, rmv extension",1
ramanagara channapatna,1
konappana agrahara,1
"lakshminarayanapura, electronic city phase 2",1
vinayaka layout,1
2 bedroom furnished farm house in kolar road,1
high grounds,1
iti employees layout,1
garden layout,1
chuchangatta colony,1
kg halli jalhalli west,1
nirman layout,1
gaundanapalya,1
adarsh nagar,1
richmond road,1
"banashankari 6th stage ,subramanyapura",1
pillahalli,1
nagarbhavi garden villas layout,1
masjid e alkareem,1
arudi,1
jagajyothi layout,1
asthagrama layout,1
milk colony,1
ramaswamy palya - kammanahalli main road,1
1st stage domlur,1
vikram nagar,1
jaya nagar east,1
hosahalli,1
sabari nagar,1
hennur busstop,1
jakkuryelahanka,1
sonam layout,1
hal old airport road,1
mudalpalaya,1
kamdhenu nagar,1
uvce layout,1
iggalur,1
rmc yard,1
sankeswari,1
laxminarayana layout,1
karnataka shabarimala,1
prakruthi nagar,1
indira nagar 3rd stage,1
chikka gowdanapalya.,1
michael palaya,1
vasantapura main road,1
near ullas theater,1
kengeri satellite town khb apartment,1
kalhalli,1
rukmaiah layout,1
queens road,1
"white field,kadugodi",1
hoskote near,1
prakash nagar,1
doddanakunte,1
bettadasanapura,1
yediyur,1
duo layout,1
manyata,1
billapura,1
kengeri satellite town stage ii,1
bds layout,1
sindhi colony,1
maruthi hbcs layout,1
k n extension,1
kasthuri nagar east of ngef,1
venkateshpuram,1
shirdi sai nagar,1
ex-servicemen colony dinnur main road r.t.nagar,1
chikkagubbi,1
cqal layout c block,1
"yemlur, old airport road,",1
bagur,1
sadahalli,1
near ramanashree california resort,1
dominic layout,1
prakruthi township,1
meenakshi layout,1
neelasandra,1
kamanahalli main road,1
sadhguru layout,1
howthinarayanappa garden,1
defence layout,1
chaitanya ananya,1
doctor layout rayasandra,1
adigondanhalli,1
wheelers road,1
nr colony,1
amrita nagar,1
chikkajala,1
devarabisanahalli,1
ncpr industrial layout,1
lic colony,1
jeevanhalli,1
vidhyanagar cross,1
sulthangunta,1
vidyapeeta,1
sahyadri layout,1
shivanagar,1
"kudlu village,",1
abshot layout,1
2electronic city phase ii,1
nrupathunga nagar,1
kengeri satellite town ( bda site),1
t c palya main road,1
seethappa layout,1
prasanna layout herohalli,1
viswajit layout,1
park view layout,1
"bidere agarahara, behind safal market",1
kuvempu layout,1
rajanna layout,1
shettihalli,1
gulakamale,1
bapuji nagar,1
"banashankari 6th stage , 2nd block",1
craig park layout,1
"mei layout, bagalgunte",1
okalipura,1
"2nd phase jp nagar, jp nagar",1
arekempanahalli,1
govindraja nagar,1
ckikkakammana halli,1
subramanya nagar,1
narayanappa layout,1
mallappa layout,1
p krishnappa layout,1
"epip area, whitefield",1
balepet,1
p&t colony,1
chikkaballapur,1
nagarbhavi  bda complex,1
anathanagar,1
indiranagar hal 2nd stage,1
rammana layout,1
sampige layout,1
williams town,1
jagadish nagar,1
sugama layout,1
prestige sunrise,1
junnasandra,1
housing board layout vijay nagar,1
"annapoorneshwari layout, jp nagar 7th phase",1
old town,1
allalasandra,1
maheswari nagar,1
bank avenue,1
brigade road,1
