location,bath,balcony,price,bhk,sqft_area,price_per_sqft
7th phase jp nagar,2.0,1.0,94.0,2,1245.0,7550.2008032128515
7th phase jp nagar,2.0,1.0,82.0,2,1175.0,6978.723404255319
7th phase jp nagar,2.0,1.0,95.0,3,1400.0,6785.714285714285
7th phase jp nagar,3.0,1.0,160.0,3,2225.0,7191.011235955056
7th phase jp nagar,2.0,3.0,80.0,2,1180.0,6779.661016949152
7th phase jp nagar,2.0,1.0,71.0,2,1050.0,6761.9047619047615
7th phase jp nagar,2.0,1.0,100.0,3,1450.0,6896.551724137931
7th phase jp nagar,2.0,2.0,96.0,3,1420.0,6760.56338028169
7th phase jp nagar,3.0,2.0,120.0,3,1680.0,7142.857142857143
7th phase jp nagar,2.0,2.0,69.0,2,980.0,7040.816326530612
7th phase jp nagar,2.0,2.0,100.0,3,1725.0,5797.101449275362
7th phase jp nagar,2.0,2.0,72.0,2,1180.0,6101.6949152542375
7th phase jp nagar,2.0,1.0,57.0,3,1050.0,5428.571428571428
7th phase jp nagar,2.0,1.0,65.0,2,1100.0,5909.090909090909
7th phase jp nagar,3.0,1.0,115.0,3,1400.0,8214.285714285714
7th phase jp nagar,4.0,3.0,290.0,4,5000.0,5800.0
7th phase jp nagar,4.0,0.0,250.0,4,3245.0,7704.160246533128
7th phase jp nagar,2.0,1.0,83.0,2,1270.0,6535.433070866142
7th phase jp nagar,3.0,3.0,100.0,3,1645.0,6079.0273556231
7th phase jp nagar,4.0,0.0,188.0,4,2503.0,7510.986815821015
7th phase jp nagar,2.0,1.0,88.0,3,1400.0,6285.714285714285
7th phase jp nagar,2.0,2.0,55.0,2,871.0,6314.580941446613
7th phase jp nagar,2.0,3.0,100.0,3,1700.0,5882.35294117647
7th phase jp nagar,2.0,2.0,110.0,3,1575.0,6984.126984126984
7th phase jp nagar,3.0,2.0,140.0,3,1850.0,7567.5675675675675
7th phase jp nagar,4.0,0.0,300.0,4,3500.0,8571.42857142857
7th phase jp nagar,7.0,0.0,170.0,7,4800.0,3541.6666666666665
7th phase jp nagar,2.0,2.0,120.0,3,1575.0,7619.047619047619
7th phase jp nagar,3.0,2.0,150.0,3,1850.0,8108.108108108108
7th phase jp nagar,3.0,2.0,120.0,3,1680.0,7142.857142857143
7th phase jp nagar,2.0,2.0,82.5,2,1175.0,7021.276595744681
7th phase jp nagar,2.0,2.0,90.0,2,1215.0,7407.407407407408
7th phase jp nagar,2.0,1.0,75.0,2,1050.0,7142.857142857143
7th phase jp nagar,2.0,1.0,74.0,2,1150.0,6434.782608695652
7th phase jp nagar,3.0,2.0,89.13,3,1300.0,6856.153846153846
7th phase jp nagar,2.0,2.0,73.0,2,1130.0,6460.1769911504425
7th phase jp nagar,3.0,2.0,100.0,3,1450.0,6896.551724137931
7th phase jp nagar,2.0,1.0,87.0,2,1275.0,6823.529411764706
7th phase jp nagar,1.0,1.0,30.0,1,600.0,5000.0
7th phase jp nagar,3.0,2.0,110.0,3,1650.0,6666.666666666667
7th phase jp nagar,1.0,1.0,31.0,1,500.0,6200.0
7th phase jp nagar,3.0,2.0,117.0,3,1680.0,6964.285714285715
7th phase jp nagar,3.0,1.0,150.0,3,1850.0,8108.108108108108
7th phase jp nagar,3.0,2.0,125.0,3,1680.0,7440.476190476191
7th phase jp nagar,2.0,2.0,135.0,3,1675.0,8059.701492537313
7th phase jp nagar,2.0,3.0,88.0,2,1220.0,7213.11475409836
7th phase jp nagar,3.0,2.0,155.0,3,1850.0,8378.378378378378
7th phase jp nagar,2.0,1.0,61.0,2,1000.0,6100.0
7th phase jp nagar,2.0,1.0,75.0,3,1350.0,5555.555555555556
7th phase jp nagar,2.0,2.0,100.0,3,1460.0,6849.315068493151
7th phase jp nagar,3.0,3.0,110.0,3,1650.0,6666.666666666667
7th phase jp nagar,1.0,1.0,23.5,1,552.0,4257.246376811594
7th phase jp nagar,2.0,1.0,70.65,2,1000.0,7065.000000000001
7th phase jp nagar,1.0,1.0,30.0,1,500.0,6000.0
7th phase jp nagar,2.0,2.0,75.0,2,1080.0,6944.444444444444
7th phase jp nagar,3.0,3.0,125.0,3,1680.0,7440.476190476191
7th phase jp nagar,2.0,1.0,97.0,3,1460.0,6643.835616438356
7th phase jp nagar,2.0,2.0,93.0,3,1503.0,6187.624750499002
7th phase jp nagar,3.0,3.0,120.0,3,1790.0,6703.91061452514
7th phase jp nagar,3.0,2.0,117.0,3,1680.0,6964.285714285715
7th phase jp nagar,2.0,1.0,77.0,2,1050.0,7333.333333333333
7th phase jp nagar,2.0,0.0,80.0,2,1200.0,6666.666666666667
7th phase jp nagar,2.0,2.0,83.0,3,1504.0,5518.617021276596
7th phase jp nagar,2.0,1.0,75.0,2,1050.0,7142.857142857143
7th phase jp nagar,2.0,1.0,75.0,2,1040.0,7211.538461538462
7th phase jp nagar,2.0,1.0,95.0,3,1400.0,6785.714285714285
7th phase jp nagar,3.0,2.0,130.0,3,1800.0,7222.222222222223
7th phase jp nagar,2.0,0.0,68.0,2,1050.0,6476.190476190476
7th phase jp nagar,2.0,2.0,60.0,2,1000.0,6000.0
7th phase jp nagar,3.0,2.0,125.0,3,1680.0,7440.476190476191
7th phase jp nagar,2.0,1.0,77.47,2,1050.0,7378.0952380952385
7th phase jp nagar,2.0,1.0,80.0,2,1270.0,6299.212598425197
7th phase jp nagar,3.0,2.0,122.0,3,1680.0,7261.9047619047615
7th phase jp nagar,2.0,2.0,85.0,2,1130.0,7522.123893805309
7th phase jp nagar,3.0,3.0,130.0,3,1680.0,7738.0952380952385
7th phase jp nagar,3.0,2.0,90.0,3,1522.0,5913.272010512484
7th phase jp nagar,2.0,1.0,77.44,2,980.0,7902.040816326531
7th phase jp nagar,3.0,2.0,112.0,3,1680.0,6666.666666666667
7th phase jp nagar,1.0,1.0,33.0,1,500.0,6600.0
7th phase jp nagar,3.0,2.0,150.0,3,2095.0,7159.904534606205
7th phase jp nagar,3.0,3.0,131.0,3,1810.0,7237.5690607734805
7th phase jp nagar,2.0,1.0,95.0,2,1160.0,8189.6551724137935
7th phase jp nagar,3.0,1.0,145.0,3,1976.0,7338.056680161943
7th phase jp nagar,2.0,2.0,110.0,3,1600.0,6875.0
7th phase jp nagar,3.0,2.0,118.0,3,1765.0,6685.552407932011
7th phase jp nagar,2.0,2.0,88.0,3,1275.0,6901.9607843137255
7th phase jp nagar,2.0,1.0,102.0,3,1450.0,7034.482758620689
7th phase jp nagar,4.0,0.0,300.0,4,5000.0,6000.0
7th phase jp nagar,2.0,2.0,110.0,3,1575.0,6984.126984126984
7th phase jp nagar,2.0,3.0,75.0,2,1192.0,6291.946308724832
7th phase jp nagar,2.0,1.0,57.0,3,1075.0,5302.325581395349
7th phase jp nagar,1.0,2.0,47.0,1,750.0,6266.666666666667
7th phase jp nagar,1.0,1.0,60.0,1,1000.0,6000.0
7th phase jp nagar,2.0,3.0,92.0,3,1680.0,5476.190476190476
7th phase jp nagar,8.0,3.0,95.0,7,2500.0,3800.0
7th phase jp nagar,2.0,1.0,102.0,3,1430.0,7132.867132867133
7th phase jp nagar,2.0,1.0,88.0,2,1280.0,6875.0
7th phase jp nagar,3.0,2.0,80.0,3,1408.0,5681.818181818182
7th phase jp nagar,3.0,2.0,90.0,3,1420.0,6338.028169014085
7th phase jp nagar,2.0,1.0,108.0,2,1530.0,7058.823529411765
abbigere,2.0,1.0,40.39,2,985.0,4100.507614213198
abbigere,6.0,2.0,68.0,6,2200.0,3090.909090909091
abbigere,2.0,2.0,30.0,1,765.0,3921.5686274509803
abbigere,2.0,1.0,35.0,2,880.0,3977.2727272727275
abbigere,2.0,1.0,32.54,2,795.0,4093.0817610062895
abbigere,2.0,1.0,39.59,2,1005.0,3939.303482587065
abbigere,1.0,0.0,19.82,1,734.0,2700.272479564033
abbigere,2.0,1.0,41.82,2,1020.0,4100.0
abbigere,2.0,1.0,40.39,2,985.0,4100.507614213198
abbigere,6.0,0.0,81.0,6,2500.0,3240.0
abbigere,2.0,1.0,32.54,2,795.0,4093.0817610062895
abbigere,2.0,1.0,46.33,2,1130.0,4100.0
abbigere,1.0,1.0,32.6,2,795.0,4100.62893081761
abbigere,8.0,0.0,150.0,8,3000.0,5000.0
abbigere,2.0,1.0,38.92,2,985.0,3951.269035532995
abbigere,2.0,1.0,41.0,2,1000.0,4100.0
abbigere,2.0,1.0,40.8,2,995.0,4100.5025125628135
abbigere,2.0,1.0,40.8,2,1020.0,3999.9999999999995
aecs layout,2.0,3.0,45.0,2,1100.0,4090.909090909091
aecs layout,2.0,1.0,42.0,2,1028.0,4085.603112840467
aecs layout,2.0,2.0,65.0,2,1199.0,5421.184320266889
aecs layout,2.0,2.0,55.0,2,1080.0,5092.592592592592
aecs layout,2.0,2.0,64.0,2,1123.0,5699.020480854853
aecs layout,2.0,1.0,60.0,2,1308.0,4587.155963302752
aecs layout,2.0,1.0,55.0,2,1005.0,5472.636815920398
ags layout,2.0,2.0,80.0,3,1650.0,4848.484848484848
ags layout,2.0,2.0,85.0,3,1450.0,5862.068965517241
ags layout,2.0,1.0,59.6,3,1490.0,4000.0
ags layout,2.0,1.0,46.79,2,1040.0,4499.038461538462
ags layout,3.0,0.0,110.0,3,1936.0,5681.818181818182
ags layout,2.0,2.0,75.0,3,1080.0,6944.444444444444
ags layout,4.0,2.0,80.0,3,1200.0,6666.666666666667
ags layout,6.0,3.0,145.0,7,3000.0,4833.333333333333
ags layout,2.0,1.0,48.38,2,1075.0,4500.46511627907
ags layout,2.0,1.0,46.0,2,1150.0,4000.0
akshaya nagar,2.0,3.0,57.0,2,1388.0,4106.628242074928
akshaya nagar,2.0,1.0,54.0,2,1070.0,5046.728971962617
akshaya nagar,2.0,0.0,58.0,2,1280.0,4531.25
akshaya nagar,3.0,3.0,85.1,3,1662.0,5120.336943441636
akshaya nagar,3.0,2.0,120.0,3,1897.0,6325.77754348972
akshaya nagar,2.0,2.0,75.0,3,1410.0,5319.148936170212
akshaya nagar,2.0,2.0,85.0,3,1360.0,6250.0
akshaya nagar,2.0,2.0,48.27,2,1175.0,4108.085106382979
akshaya nagar,2.0,2.0,80.0,3,1410.0,5673.758865248227
akshaya nagar,3.0,2.0,85.0,3,1662.0,5114.320096269555
akshaya nagar,3.0,2.0,85.5,3,1662.0,5144.404332129964
akshaya nagar,2.0,1.0,60.0,2,1280.0,4687.5
akshaya nagar,6.0,0.0,130.0,6,2400.0,5416.666666666667
akshaya nagar,3.0,0.0,95.0,3,1666.0,5702.280912364946
akshaya nagar,3.0,0.0,90.0,3,1575.0,5714.285714285715
akshaya nagar,2.0,1.0,75.0,2,1380.0,5434.782608695652
akshaya nagar,2.0,2.0,75.0,3,1430.0,5244.755244755244
akshaya nagar,2.0,3.0,73.0,3,1419.0,5144.46793516561
akshaya nagar,2.0,1.0,60.0,2,1280.0,4687.5
akshaya nagar,2.0,1.0,50.0,2,1200.0,4166.666666666667
akshaya nagar,2.0,1.0,60.0,2,1092.0,5494.505494505494
akshaya nagar,3.0,2.0,85.0,3,1690.0,5029.585798816568
akshaya nagar,4.0,2.0,93.0,3,1897.0,4902.477596204533
akshaya nagar,3.0,3.0,98.0,3,1884.0,5201.698513800425
akshaya nagar,2.0,2.0,68.8,2,1314.0,5235.920852359209
akshaya nagar,3.0,2.0,85.0,3,1690.0,5029.585798816568
akshaya nagar,2.0,3.0,67.0,2,1265.0,5296.442687747036
akshaya nagar,2.0,1.0,55.0,2,1126.0,4884.547069271758
akshaya nagar,3.0,0.0,90.0,3,1662.0,5415.162454873646
akshaya nagar,2.0,2.0,75.0,3,1420.0,5281.69014084507
akshaya nagar,2.0,1.0,76.0,2,1200.0,6333.333333333333
akshaya nagar,2.0,3.0,88.0,3,1412.0,6232.294617563739
akshaya nagar,3.0,3.0,84.0,3,1434.0,5857.740585774059
akshaya nagar,4.0,2.0,100.0,3,1890.0,5291.005291005291
akshaya nagar,2.0,3.0,87.0,3,1419.0,6131.0782241014795
akshaya nagar,2.0,1.0,54.0,2,1300.0,4153.846153846154
akshaya nagar,3.0,2.0,85.0,3,1690.0,5029.585798816568
akshaya nagar,2.0,1.0,52.0,2,1113.0,4672.057502246182
akshaya nagar,4.0,2.0,95.0,3,1820.0,5219.780219780219
akshaya nagar,2.0,2.0,48.0,2,1100.0,4363.636363636364
akshaya nagar,3.0,2.0,102.0,3,1896.0,5379.7468354430375
akshaya nagar,2.0,2.0,66.0,2,1300.0,5076.923076923077
akshaya nagar,2.0,0.0,68.0,2,1225.0,5551.0204081632655
akshaya nagar,2.0,1.0,51.0,2,1179.0,4325.699745547074
akshaya nagar,2.0,2.0,73.0,3,1421.0,5137.227304714989
akshaya nagar,4.0,2.0,95.0,3,1893.0,5018.489170628632
akshaya nagar,2.0,1.0,45.0,2,900.0,5000.0
akshayanagara east,3.0,2.0,108.0,3,1693.0,6379.208505611341
akshayanagara east,2.0,2.0,60.0,2,1205.0,4979.253112033195
akshayanagara east,2.0,1.0,76.0,2,1210.0,6280.99173553719
akshayanagara east,3.0,2.0,67.23,3,1519.0,4425.938117182357
akshayanagara east,2.0,2.0,75.0,2,1410.0,5319.148936170212
akshayanagara east,3.0,2.0,70.39,3,1595.0,4413.166144200627
akshayanagara east,2.0,1.0,50.0,2,1230.0,4065.040650406504
akshayanagara east,1.0,1.0,40.0,1,595.0,6722.689075630252
akshayanagara east,2.0,2.0,44.0,2,1145.0,3842.7947598253277
ambalipura,2.0,1.0,75.0,2,1105.0,6787.330316742082
ambalipura,2.0,2.0,80.0,2,1150.0,6956.521739130435
ambalipura,2.0,2.0,66.25,2,1250.0,5300.0
ambalipura,2.0,1.0,79.0,2,1332.0,5930.930930930931
ambalipura,3.0,1.0,120.0,3,1730.0,6936.416184971098
ambalipura,4.0,3.0,148.0,3,1810.0,8176.795580110497
ambalipura,2.0,2.0,66.25,2,1230.0,5386.178861788618
ambalipura,2.0,1.0,77.0,2,1351.0,5699.481865284974
ambalipura,3.0,2.0,100.0,3,1605.0,6230.529595015576
ambalipura,2.0,2.0,80.0,2,1303.0,6139.677666922486
ambalipura,2.0,1.0,80.0,3,1300.0,6153.846153846154
ambalipura,2.0,2.0,112.0,3,1607.0,6969.508400746733
ambalipura,1.0,2.0,43.82,1,770.0,5690.909090909091
ambalipura,2.0,1.0,58.5,2,1060.0,5518.867924528302
ambalipura,2.0,2.0,83.0,2,1175.0,7063.829787234043
ambalipura,2.0,2.0,112.0,3,1607.0,6969.508400746733
ambalipura,2.0,2.0,80.0,2,1198.0,6677.79632721202
ambedkar nagar,4.0,2.0,130.0,3,1935.0,6718.3462532299745
ambedkar nagar,2.0,2.0,90.0,2,1424.0,6320.224719101124
ambedkar nagar,4.0,2.0,169.0,3,2225.0,7595.505617977528
ambedkar nagar,3.0,2.0,120.0,3,1862.0,6444.68313641246
ambedkar nagar,4.0,3.0,139.0,3,1850.0,7513.513513513513
ambedkar nagar,4.0,2.0,126.0,3,1936.0,6508.264462809917
ambedkar nagar,3.0,2.0,119.0,3,1862.0,6390.977443609023
ambedkar nagar,2.0,2.0,90.0,2,1424.0,6320.224719101124
ambedkar nagar,4.0,2.0,125.0,3,2150.0,5813.953488372093
ambedkar nagar,4.0,2.0,290.0,4,3530.0,8215.297450424929
ambedkar nagar,3.0,1.0,120.0,3,1856.0,6465.517241379311
ambedkar nagar,3.0,2.0,130.0,3,1852.0,7019.438444924406
ambedkar nagar,4.0,2.0,120.0,3,1850.0,6486.486486486487
ambedkar nagar,2.0,2.0,86.0,2,1367.0,6291.148500365764
ambedkar nagar,4.0,3.0,255.0,4,3565.0,7152.875175315568
ambedkar nagar,2.0,2.0,95.0,2,1409.0,6742.370475514549
ambedkar nagar,4.0,2.0,120.0,3,1950.0,6153.846153846154
ambedkar nagar,4.0,3.0,129.0,3,1921.0,6715.252472670484
ambedkar nagar,4.0,2.0,121.0,3,1920.0,6302.083333333333
ambedkar nagar,4.0,2.0,125.0,3,1935.0,6459.948320413437
ambedkar nagar,4.0,2.0,122.0,3,1852.0,6587.473002159827
ambedkar nagar,4.0,2.0,120.0,3,1950.0,6153.846153846154
ambedkar nagar,3.0,2.0,125.0,3,1852.0,6749.460043196545
ambedkar nagar,4.0,2.0,121.0,3,1850.0,6540.540540540541
ambedkar nagar,2.0,1.0,94.0,2,1425.0,6596.491228070176
ambedkar nagar,4.0,2.0,150.0,3,2395.0,6263.048016701461
amruthahalli,2.0,1.0,40.0,2,900.0,4444.444444444444
amruthahalli,2.0,2.0,55.0,2,1200.0,4583.333333333333
amruthahalli,3.0,1.0,135.0,3,1900.0,7105.263157894737
amruthahalli,2.0,1.0,45.0,2,924.0,4870.12987012987
amruthahalli,2.0,1.0,60.0,2,900.0,6666.666666666667
amruthahalli,2.0,1.0,45.0,2,1100.0,4090.909090909091
amruthahalli,2.0,1.0,55.0,2,1200.0,4583.333333333333
amruthahalli,2.0,1.0,85.0,3,1450.0,5862.068965517241
amruthahalli,2.0,2.0,55.0,2,1200.0,4583.333333333333
amruthahalli,2.0,2.0,79.0,2,1250.0,6320.0
amruthahalli,2.0,2.0,50.0,2,1190.0,4201.680672268908
amruthahalli,2.0,1.0,65.0,2,1202.0,5407.65391014975
amruthahalli,2.0,1.0,75.0,2,1340.0,5597.014925373134
amruthahalli,4.0,0.0,175.0,3,2650.0,6603.773584905661
amruthahalli,2.0,1.0,90.0,3,1450.0,6206.896551724138
amruthahalli,2.0,1.0,42.0,2,1025.0,4097.5609756097565
amruthahalli,1.0,1.0,19.5,1,485.0,4020.618556701031
anandapura,2.0,1.0,43.76,2,1167.0,3749.7857754927163
anandapura,2.0,1.0,55.0,2,1000.0,5500.0
anandapura,2.0,1.0,42.79,2,1141.0,3750.219106047327
anandapura,4.0,2.0,86.0,4,1850.0,4648.648648648648
anandapura,2.0,0.0,64.0,2,900.0,7111.111111111111
anandapura,2.0,2.0,39.0,2,1070.0,3644.8598130841124
anandapura,2.0,1.0,67.0,2,1200.0,5583.333333333333
anandapura,2.0,1.0,58.0,2,1200.0,4833.333333333333
anandapura,2.0,1.0,43.1,2,1151.0,3744.5699391833186
anandapura,2.0,1.0,42.75,2,1141.0,3746.7134092900965
anandapura,2.0,0.0,48.0,2,900.0,5333.333333333333
anandapura,2.0,2.0,37.0,2,1070.0,3457.9439252336447
anandapura,4.0,0.0,90.0,4,1749.0,5145.797598627787
anandapura,2.0,1.0,40.0,2,950.0,4210.526315789473
anandapura,2.0,2.0,37.0,2,1200.0,3083.3333333333335
anandapura,2.0,0.0,25.0,2,710.0,3521.1267605633802
anandapura,2.0,1.0,42.9,2,1151.0,3727.193744569939
anandapura,2.0,2.0,45.0,2,1250.0,3600.0
anandapura,2.0,1.0,57.0,2,875.0,6514.285714285715
anandapura,2.0,1.0,43.16,2,1151.0,3749.7827975673326
anandapura,2.0,0.0,58.0,2,1200.0,4833.333333333333
anandapura,2.0,0.0,32.0,2,950.0,3368.4210526315787
anandapura,2.0,0.0,66.0,3,1200.0,5500.0
anandapura,2.0,1.0,74.0,3,1415.0,5229.681978798587
anandapura,3.0,1.0,87.54,3,1843.0,4749.864351600651
anandapura,2.0,1.0,30.13,2,1076.0,2800.185873605948
anandapura,2.0,1.0,50.0,2,1200.0,4166.666666666667
anandapura,2.0,1.0,50.0,2,1141.0,4382.120946538124
anandapura,3.0,2.0,77.0,3,1600.0,4812.5
anandapura,2.0,0.0,30.0,2,950.0,3157.8947368421054
ananth nagar,1.0,1.0,14.0,1,500.0,2800.0
ananth nagar,2.0,2.0,31.5,2,1100.0,2863.6363636363635
ananth nagar,2.0,2.0,24.55,2,982.0,2500.0
ananth nagar,2.0,2.0,14.0,1,500.0,2800.0
ananth nagar,2.0,2.0,22.5,2,900.0,2500.0
ananth nagar,2.0,1.0,26.0,2,908.0,2863.4361233480176
ananth nagar,2.0,2.0,36.0,2,870.0,4137.931034482759
ananth nagar,2.0,1.0,35.0,2,937.0,3735.325506937033
ananth nagar,2.0,3.0,37.0,2,960.0,3854.1666666666665
ananth nagar,1.0,1.0,14.0,1,500.0,2800.0
ananth nagar,2.0,1.0,29.7,2,1000.0,2970.0
ananth nagar,2.0,1.0,25.99,2,850.0,3057.6470588235293
ananth nagar,2.0,1.0,25.26,2,902.0,2800.4434589800444
ananth nagar,3.0,2.0,54.0,3,1470.0,3673.469387755102
ananth nagar,2.0,1.0,25.5,2,810.0,3148.1481481481483
ananth nagar,2.0,1.0,27.0,2,890.0,3033.7078651685392
ananth nagar,2.0,1.0,36.0,2,1200.0,3000.0
ananth nagar,3.0,1.0,42.0,3,1319.0,3184.230477634572
ananth nagar,2.0,3.0,25.0,2,1000.0,2500.0
ananth nagar,2.0,2.0,25.0,2,902.0,2771.6186252771618
ananth nagar,2.0,1.0,25.99,2,930.0,2794.6236559139784
ananth nagar,2.0,2.0,26.85,2,1074.0,2500.0
ananth nagar,1.0,1.0,14.0,1,500.0,2800.0
ananth nagar,2.0,2.0,38.0,2,1010.0,3762.3762376237623
ananth nagar,2.0,2.0,24.8,2,992.0,2500.0
anekal,2.0,1.0,22.0,2,656.0,3353.6585365853657
anekal,2.0,1.0,22.0,2,620.0,3548.3870967741937
anekal,1.0,1.0,16.5,1,600.0,2750.0
